Word                Frequency      URL_idx        
---------------------------------------------------------------------

0                   6              [2, 1582, 1585, 1742, 2140, 2143]
01                  1              [2]            
02                  1              [2]            
04                  2              [1]            
07                  2              [2, 1722]      
08                  1              [2]            
0837                1              [2]            
09                  1              [2]            
1                   20             [1, 88, 102, 110, 111, 119, 883]
10                  1              [2]            
107                 1              [1]            
11                  2              [2, 1605]      
12                  6              [2, 1501, 1521, 1583, 2103, 2141]
13                  2              [2, 1714]      
14                  3              [2, 2028, 2039]
1431                1              [1]            
14–31               1              [2]            
15                  3              [1]            
1591404149          1              [1]            
16                  2              [2, 2095]      
17                  2              [2, 2008]      
181–193             1              [2]            
182–185             1              [2]            
19                  2              [2, 2035]      
1960s               1              [2]            
1983                1              [2]            
1992                1              [2]            
1995                1              [2]            
1996                1              [2]            
1998                1              [2]            
1999                1              [2]            
1–24                1              [2]            
2                   12             [1, 87, 90, 91, 122, 902]
20                  1              [1]            
2000                5              [1, 794, 800, 894]
2001                1              [2]            
2002                1              [2]            
2003                2              [2, 1889]      
2004                4              [1]            
2005                4              [1, 772, 809]  
2006                3              [2, 1772, 1933]
2007                4              [1]            
2008                2              [2, 1996]      
2009                1              [2]            
2010                2              [2, 1500]      
2011                10             [2, 1513, 1572, 1677, 1702, 1720, 1835, 1849, 2097, 2130]
2012                2              [2, 2192]      
2013                2              [1]            
2014                4              [2, 1345, 1493, 1936]
2015                2              [1]            
2016                1              [2]            
2018                1              [2]            
2019                3              [1, 873, 915]  
2020                3              [1, 47, 532]   
21                  1              [2]            
22852               1              [2]            
2533–2541           1              [2]            
26                  1              [2]            
27                  2              [2, 1716]      
3                   10             [1]            
30                  5              [2, 1710, 1987, 1995, 2128]
3540679813          1              [1]            
374856              2              [2, 2142]      
38                  1              [2]            
381479              1              [2]            
3–4                 1              [2]            
4                   6              [1, 101, 109, 798]
4398                1              [2]            
44                  1              [2]            
4503                1              [2]            
461                 1              [2]            
471                 1              [2]            
48                  1              [2]            
489                 1              [2]            
5                   4              [1]            
55860               1              [2]            
55–60               1              [1]            
5th                 1              [1]            
6                   9              [1, 118, 121, 799, 886]
6069                1              [2]            
65                  1              [2]            
7                   3              [2, 255, 260]  
7281                1              [1]            
8                   3              [2, 270, 275]  
85278               1              [2]            
9                   4              [2, 284, 294, 1960]
978                 10             [1, 821, 882]  
9783540300175       1              [1]            
A                   11             [1, 905]       
AAHC                1              [2]            
ACM                 3              [2, 1823, 1826]
AOL                 1              [2]            
ASA                 1              [2]            
About               2              [1]            
Academic            1              [2]            
Aggregation         1              [2]            
Aldershot           1              [2]            
Algorithms          2              [2, 2065]      
America             1              [2]            
American            1              [2]            
An                  3              [1]            
Analysis            1              [2]            
Annamoradnejad      2              [1, 864]       
Anne                1              [1]            
Another             1              [1]            
Anthony             1              [1]            
Antonelli           1              [2]            
Application         5              [1, 232, 235]  
Applications        3              [1]            
Applied             1              [2]            
April               2              [1]            
Archick             1              [2]            
Archived            2              [2, 1882]      
Article             2              [1]            
As                  5              [1]            
Association         3              [1]            
August              2              [2, 1932]      
Azevedo             1              [2]            
Azərbaycanca        1              [2]            
BIOMEDICINE         1              [2]            
Background          2              [2, 381]       
